Year,Puerulus,FMSL,SOI
1968,42.30767419,0.724,3.01666667
1969,0.853320976,0.6358571,-5.38333333
1970,5.51555634,0.7221429,3.925
1971,18.14945854,0.7198571,10.95
1972,18.46860068,0.639,-7.35
1973,45.08508832,0.7482857,7.28333333
1974,93.12521244,0.7838571,9.9
1975,44.89043743,0.8208571,13.6
1976,46.11238904,0.6881429,1.10833333
1977,41.99658723,0.6731429,-9.9
1978,64.58810261,0.7391429,-1.65
1979,37.73117065,0.6835714,-1.90833333
1980,27.99727482,0.6671429,-3.08333333
1981,38.16540178,0.746,1.8
1982,6.872038836,0.6651429,-13.05
1983,24.93991015,0.7498571,-8.33333333
1984,61.94232032,0.7447143,-0.10833333
1985,41.82460982,0.7125714,0.85833333
1986,11.72995589,0.6621429,-2.38333333
1987,18.24221409,0.6648571,-13.075
1988,50.6935225,0.8004286,7.81666667
1989,42.11357163,0.7352857,6.76666667
1990,22.99139698,0.6711429,-2.19166667
1991,22.11394066,0.7025714,-8.78333333
1992,15.92952422,0.6992857,-10.38333333
1993,13.08210667,0.656,-9.46666667
1994,35.73314849,0.6605714,-11.93333333
1995,81.21380649,0.7682857,-2.26666667
1996,57.12268754,0.8382857,5.69166667
1997,19.82451995,0.656,-11.66666667
1998,15.0867831,0.7774286,-1.08333333
1999,56.26560628,0.8564286,7.95
2000,68.18628702,0.8022857,7.8
2001,39.64975256,0.7414286,0.48333333
2002,12.12921569,0.6935714,-6.15
2003,24.73671701,0.7148571,-3.18333333
2004,20.38693196,0.732,-4.78333333
2005,25.08683398,0.7644286,-3.56666667
2006,7.730686125,0.7357143,-2.10833333
2007,4.358387456,0.7964286,1.29166667
2008,0.710180959,0.8268571,10.11666667
2009,2.389072164,0.7715714,-0.325
2010,10.27950419,0.826,9.81666667
2011,11.56212856,0.8702857,13.3
2012,14.75500062,0.8308571,-0.76666667
2013,53.20465133,0.8785714,3.98333333
2014,12.72636519,0.8145714,-3.03333333
2015,14.96935105,0.7388571,-11.23333333
2016,34.38096799,0.7894286,-3.075
2017,17.78148669,0.8417143,2.15
